Batch Data Path,D:\MassHunter\Data\ZD\202605\20260520_TigE_activity\QuantResults\20260520_TigE_activity.batch.bin
Analysis Time,5/21/2026 11:30:51 AM,Analyst Name,DESKTOP-C443AI4\Agilent,Report Generator Name,DESKTOP-C443AI4\Agilent
Calibration Last Update,5/21/2026 11:29:27 AM,Analyze Quant Version,10.1,Report Quant Version,10.2
Sequence Table
Data File,Name,Type,Vial,Vol.,Level,Acq. Method File
20.d,20 noti 1,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

21.d,21 noti 5,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

22.d,22 noti 10,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

23.d,23 noti 30,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

24.d,24 noti 60,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

25.d,25 blank,Blank,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

26.d,26 nosam 0,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

27.d,27 nosam 1,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

28.d,28 nosam 5,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

29.d,29 nosam 10,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

30.d,30 nosam 30,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

31.d,31 nosam 60,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

32.d,32 blank,Blank,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

33.d,33 nosub 0,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

34.d,34 nosub 1,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

35.d,35 nosub 5,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

36.d,36 nosub 10,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

37.d,37 nosub 30,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

38.d,38 nosub 60,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

39.d,39 blank,Blank,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

40.d,40 noenz 0,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

41.d,41 noenz 1,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

42.d,42 noenz 5,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

43.d,43 noenz 10,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

44.d,44 noenz 30,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

45.d,45 noenz 60,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

46.d,46 blank,Blank,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

47.d,47 std 0,Cal,,3,1,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

48.d,48 std 0.5,Cal,,3,2,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

49.d,49 std 1,Cal,,3,3,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

50.d,50 std 2,Cal,,3,4,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

51.d,51 std 3.33,Cal,,3,5,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

52.d,52 std 5,Cal,,3,6,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

53.d,53 std 10,Cal,,3,7,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

54.d,54 std 20,Cal,,3,8,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

55.d,55 blank,Blank,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

56.d,stop_program,Blank,,3,,Stop Program_Formate_2_ACN.m

Methionine
Data File,Type,ISTD,RT,Resp.,ISTD Resp,RR,Final Conc.,Exp. Conc.,Accuracy
01.d,Blank,Trp,1.269,5,3,1.43592840,33.4347,,
02.d,Blank,Trp,1.208,17,3,6.03809724,102.8388,,
03.d,Cal,Trp,1.147,33,23134,0.00141839,0.1936,0.0000,
04.d,Cal,Trp,1.244,133,21161,0.00626556,0.3294,0.5000,65.9
05.d,Cal,Trp,1.232,597,21004,0.02844527,0.9480,1.0000,94.8
06.d,Cal,Trp,1.232,1532,19362,0.07911771,2.3435,2.0000,117.2
07.d,Cal,Trp,1.232,2401,18750,0.12807345,3.6693,3.3300,110.2
08.d,Cal,Trp,1.232,3638,18047,0.20156590,5.6205,5.0000,112.4
09.d,Cal,Trp,1.232,7212,17318,0.41642565,11.0826,10.0000,110.8
10.d,Cal,Trp,1.232,15466,16763,0.92266337,22.7979,20.0000,114.0
11.d,Blank,Trp,1.244,9,3,3.33189083,66.1100,,
12.d,Sample,Trp,1.256,703,17885,0.03929317,1.2488,,
13.d,Sample,Trp,1.256,1165,17936,0.06495527,1.9559,,
14.d,Sample,Trp,1.256,1514,17979,0.08422358,2.4828,,
15.d,Sample,Trp,1.256,2181,17881,0.12196119,3.5049,,
16.d,Sample,Trp,1.256,4145,18402,0.22524598,6.2397,,
17.d,Sample,Trp,1.256,6017,19089,0.31521940,8.5523,,
18.d,Blank,Trp,1.317,34,6,6.11699585,103.7989,,
19.d,Sample,Trp,1.232,98,18598,0.00525395,0.3011,,
20.d,Sample,Trp,1.232,117,17876,0.00652110,0.3366,,
21.d,Sample,Trp,1.220,124,18409,0.00671871,0.3421,,
22.d,Sample,Trp,1.232,59,19154,0.00308996,0.2405,,
23.d,Sample,Trp,1.232,108,19394,0.00554956,0.3094,,
24.d,Sample,Trp,1.220,180,19515,0.00924566,0.4128,,
25.d,Blank,Trp,1.317,33,4,8.42552996,129.9440,,
26.d,Sample,Trp,1.269,189,19685,0.00958702,0.4224,,
27.d,Sample,Trp,1.256,54,20043,0.00269480,0.2294,,
28.d,Sample,Trp,1.354,115,20132,0.00572654,0.3143,,
29.d,Sample,Trp,1.256,237,20329,0.01163497,0.4796,,
30.d,Sample,Trp,1.269,68,20743,0.00325760,0.2452,,
31.d,Sample,Trp,1.256,120,20176,0.00593393,0.3201,,
32.d,Blank,Trp,1.208,27,14,1.94049024,42.9892,,
33.d,Sample,Trp,1.256,580,19382,0.02992833,0.9892,,
34.d,Sample,Trp,1.269,887,19372,0.04578037,1.4281,,
35.d,Sample,Trp,1.256,1754,20256,0.08658058,2.5470,,
36.d,Sample,Trp,1.269,2262,19377,0.11673190,3.3640,,
37.d,Sample,Trp,1.256,3381,19357,0.17466111,4.9115,,
38.d,Sample,Trp,1.256,5494,21327,0.25762766,7.0792,,
39.d,Blank,Trp,1.232,12,5,2.15446162,46.8218,,
40.d,Sample,Trp,1.256,560,19120,0.02931220,0.9721,,
41.d,Sample,Trp,1.256,488,19179,0.02542057,0.8639,,
42.d,Sample,Trp,1.256,534,19409,0.02753012,0.9226,,
43.d,Sample,Trp,1.256,551,19614,0.02810153,0.9384,,
44.d,Sample,Trp,1.269,585,19712,0.02969860,0.9828,,
45.d,Sample,Trp,1.256,637,17988,0.03539969,1.1409,,
46.d,Blank,Trp,1.269,16,5,2.97681410,60.5746,,
47.d,Cal,Trp,1.269,11,20673,0.00055116,0.1693,0.0000,
48.d,Cal,Trp,1.232,134,21306,0.00630258,0.3305,0.5000,66.1
49.d,Cal,Trp,1.232,540,20283,0.02663502,0.8977,1.0000,89.8
50.d,Cal,Trp,1.232,1159,20196,0.05737420,1.7476,2.0000,87.4
51.d,Cal,Trp,1.232,1972,19257,0.10239347,2.9765,3.3300,89.4
52.d,Cal,Trp,1.232,3038,19359,0.15694164,4.4412,5.0000,88.8
53.d,Cal,Trp,1.232,6212,18907,0.32853899,8.8895,10.0000,88.9
54.d,Cal,Trp,1.232,12513,18688,0.66959275,17.1203,20.0000,85.6
55.d,Blank,Trp,1.281,12,8,1.53537798,35.3811,,
56.d,Blank,Trp,,,,,ND,,
5dA
Data File,Type,ISTD,RT,Resp.,ISTD Resp,RR,Final Conc.,Exp. Conc.,Accuracy
01.d,Blank,Trp,2.171,1,3,0.38341740,0.7167,,
02.d,Blank,Trp,2.147,11,3,4.12564760,8.0064,,
03.d,Cal,Trp,2.171,53,23134,0.00227927,0.0263,0.0000,
04.d,Cal,Trp,2.123,5182,21161,0.24486867,0.4648,0.5000,93.0
05.d,Cal,Trp,2.123,11756,21004,0.55969869,1.0389,1.0000,103.9
06.d,Cal,Trp,2.135,23894,19362,1.23404781,2.2888,2.0000,114.4
07.d,Cal,Trp,2.098,37592,18750,2.00490287,3.7533,3.3300,112.7
08.d,Cal,Trp,2.098,54319,18047,3.00987253,5.7250,5.0000,114.5
09.d,Cal,Trp,2.111,98120,17318,5.66579619,11.3413,10.0000,113.4
10.d,Cal,Trp,2.123,175289,16763,10.45705364,23.7746,20.0000,118.9
11.d,Blank,Trp,2.111,21,3,8.15490550,17.3149,,
12.d,Sample,Trp,2.123,728,17885,0.04071836,0.0956,,
13.d,Sample,Trp,2.111,2459,17936,0.13707419,0.2695,,
14.d,Sample,Trp,2.111,6839,17979,0.38036352,0.7111,,
15.d,Sample,Trp,2.123,11551,17881,0.64597090,1.1972,,
16.d,Sample,Trp,2.123,23364,18402,1.26961230,2.3555,,
17.d,Sample,Trp,2.123,31412,19089,1.64553462,3.0656,,
18.d,Blank,Trp,2.074,8,6,1.36459440,2.5340,,
19.d,Sample,Trp,2.086,50,18598,0.00271330,0.0271,,
20.d,Sample,Trp,2.123,53,17876,0.00298753,0.0276,,
21.d,Sample,Trp,2.098,47,18409,0.00257543,0.0268,,
22.d,Sample,Trp,2.111,130,19154,0.00676231,0.0344,,
23.d,Sample,Trp,2.111,77,19394,0.00399476,0.0294,,
24.d,Sample,Trp,2.098,117,19515,0.00597710,0.0330,,
25.d,Blank,Trp,2.111,6,4,1.56783189,2.9181,,
26.d,Sample,Trp,2.135,37,19685,0.00186518,0.0256,,
27.d,Sample,Trp,2.025,62,20043,0.00307749,0.0277,,
28.d,Sample,Trp,2.171,34,20132,0.00169267,0.0252,,
29.d,Sample,Trp,2.111,27,20329,0.00131544,0.0246,,
30.d,Sample,Trp,2.123,34,20743,0.00162200,0.0251,,
31.d,Sample,Trp,2.111,64,20176,0.00316628,0.0279,,
32.d,Blank,Trp,2.111,3,14,0.20541324,0.3932,,
33.d,Sample,Trp,2.135,718,19382,0.03704995,0.0889,,
34.d,Sample,Trp,2.123,2851,19372,0.14718053,0.2878,,
35.d,Sample,Trp,2.123,7395,20256,0.36508341,0.6833,,
36.d,Sample,Trp,2.123,10189,19377,0.52581250,0.9768,,
37.d,Sample,Trp,2.123,17828,19357,0.92103164,1.7051,,
38.d,Sample,Trp,2.123,25938,21327,1.21620236,2.2553,,
39.d,Blank,Trp,2.025,13,5,2.44770557,4.6130,,
40.d,Sample,Trp,2.135,69,19120,0.00361881,0.0287,,
41.d,Sample,Trp,2.135,71,19179,0.00370425,0.0289,,
42.d,Sample,Trp,2.111,78,19409,0.00403833,0.0295,,
43.d,Sample,Trp,2.098,71,19614,0.00362185,0.0287,,
44.d,Sample,Trp,2.135,72,19712,0.00363136,0.0287,,
45.d,Sample,Trp,2.098,83,17988,0.00463898,0.0306,,
46.d,Blank,Trp,2.001,5,5,0.98576783,1.8253,,
47.d,Cal,Trp,2.086,48,20673,0.00234115,0.0264,0.0000,
48.d,Cal,Trp,2.111,3928,21306,0.18435748,0.3551,0.5000,71.0
49.d,Cal,Trp,2.111,9577,20283,0.47218520,0.8787,1.0000,87.9
50.d,Cal,Trp,2.111,19688,20196,0.97488159,1.8051,2.0000,90.3
51.d,Cal,Trp,2.111,31221,19257,1.62132716,3.0196,3.3300,90.7
52.d,Cal,Trp,2.111,45851,19359,2.36849205,4.4581,5.0000,89.2
53.d,Cal,Trp,2.123,82328,18907,4.35441820,8.4874,10.0000,84.9
54.d,Cal,Trp,2.111,147300,18688,7.88204574,16.6172,20.0000,83.1
55.d,Blank,Trp,2.111,3,8,0.35201662,0.6595,,
56.d,Blank,Trp,,,,,ND,,
5 MTA
Data File,Type,ISTD,RT,Resp.,ISTD Resp,RR,Final Conc.,Exp. Conc.,Accuracy
01.d,Blank,Trp,3.336,48,3,15.08030035,8.2317,,
02.d,Blank,Trp,3.348,62,3,22.16929729,13.3099,,
03.d,Cal,Trp,3.324,160,23134,0.00692792,0.0000,0.0000,
04.d,Cal,Trp,3.324,25580,21161,1.20883755,0.3672,0.5000,73.4
05.d,Cal,Trp,3.324,59052,21004,2.81147774,1.1832,1.0000,118.3
06.d,Cal,Trp,3.324,113959,19362,5.88558167,2.8055,2.0000,140.3
07.d,Cal,Trp,3.324,168064,18750,8.96334396,4.5152,3.3300,135.6
08.d,Cal,Trp,3.324,214592,18047,11.89078351,6.2345,5.0000,124.7
09.d,Cal,Trp,3.324,337209,17318,19.47167170,11.2509,10.0000,112.5
10.d,Cal,Trp,3.324,542569,16763,32.36751561,24.1033,20.0000,120.5
11.d,Blank,Trp,3.336,258,3,99.03682125,ND,,
12.d,Sample,Trp,3.324,165890,17885,9.27550261,4.6940,,
13.d,Sample,Trp,3.324,163457,17936,9.11344048,4.6010,,
14.d,Sample,Trp,3.324,161939,17979,9.00690797,4.5401,,
15.d,Sample,Trp,3.324,157410,17881,8.80322322,4.4240,,
16.d,Sample,Trp,3.324,156734,18402,8.51709079,4.2615,,
17.d,Sample,Trp,3.324,159119,19089,8.33563891,4.1589,,
18.d,Blank,Trp,3.312,180,6,32.25547582,23.9291,,
19.d,Sample,Trp,3.324,173235,18598,9.31469525,4.7165,,
20.d,Sample,Trp,3.324,169686,17876,9.49229041,4.8187,,
21.d,Sample,Trp,3.324,177261,18409,9.62927333,4.8978,,
22.d,Sample,Trp,3.324,165761,19154,8.65403976,4.3392,,
23.d,Sample,Trp,3.324,166443,19394,8.58208675,4.2983,,
24.d,Sample,Trp,3.324,167035,19515,8.55923797,4.2854,,
25.d,Blank,Trp,3.324,122,4,31.12891623,22.3060,,
26.d,Sample,Trp,3.324,808,19685,0.04106016,0.0000,,
27.d,Sample,Trp,3.336,430,20043,0.02144896,0.0000,,
28.d,Sample,Trp,3.324,281,20132,0.01397327,0.0000,,
29.d,Sample,Trp,3.336,1277,20329,0.06281064,0.0000,,
30.d,Sample,Trp,3.336,427,20743,0.02058889,0.0000,,
31.d,Sample,Trp,3.336,759,20176,0.03762670,0.0000,,
32.d,Blank,Trp,3.312,239,14,17.48924463,9.8436,,
33.d,Sample,Trp,3.336,158550,19382,8.18039868,4.0714,,
34.d,Sample,Trp,3.336,151942,19372,7.84328472,3.8823,,
35.d,Sample,Trp,3.336,145495,20256,7.18270442,3.5149,,
36.d,Sample,Trp,3.336,154634,19377,7.98009780,3.9589,,
37.d,Sample,Trp,3.336,152199,19357,7.86285803,3.8932,,
38.d,Sample,Trp,3.336,142705,21327,6.69134295,3.2443,,
39.d,Blank,Trp,3.324,112,5,20.63053480,12.1130,,
40.d,Sample,Trp,3.324,157248,19120,8.22414691,4.0961,,
41.d,Sample,Trp,3.336,148258,19179,7.73017468,3.8191,,
42.d,Sample,Trp,3.324,143022,19409,7.36897393,3.6180,,
43.d,Sample,Trp,3.336,147314,19614,7.51081983,3.6968,,
44.d,Sample,Trp,3.324,148785,19712,7.54791703,3.7175,,
45.d,Sample,Trp,3.324,148564,17988,8.25924206,4.1158,,
46.d,Blank,Trp,3.348,125,5,23.83365796,14.6824,,
47.d,Cal,Trp,3.348,325,20673,0.01573907,0.0000,0.0000,
48.d,Cal,Trp,3.324,17654,21306,0.82861330,0.1764,0.5000,35.3
49.d,Cal,Trp,3.336,41184,20283,2.03048381,0.7831,1.0000,78.3
50.d,Cal,Trp,3.336,75455,20196,3.73620972,1.6630,2.0000,83.1
51.d,Cal,Trp,3.336,124976,19257,6.48999188,3.1341,3.3300,94.1
52.d,Cal,Trp,3.336,161082,19359,8.32097420,4.1506,5.0000,83.0
53.d,Cal,Trp,3.324,270784,18907,14.32199458,7.7437,10.0000,77.4
54.d,Cal,Trp,3.324,495026,18688,26.48891104,17.0847,20.0000,85.4
55.d,Blank,Trp,3.324,609,8,80.59088992,ND,,
56.d,Blank,Trp,,,,,ND,,
